term_id,term_str,n,num,stop,p_stem,pos_max,term_rank,p,df,idf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max
64,41,1,1,0,41,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
65,42,2,1,0,42,CD,109,7.702973347712218e-05,2,2.670245853074124,2.670245853074124,5.340491706148248,2.670245853074124,2.670245853074124
66,43,2,1,0,43,CD,109,7.702973347712218e-05,2,2.670245853074124,2.670245853074124,5.340491706148248,2.670245853074124,2.670245853074124
67,48,2,1,0,48,CD,109,7.702973347712218e-05,2,2.670245853074124,2.670245853074124,5.340491706148248,2.670245853074124,2.670245853074124
68,4th,6,1,0,4th,CD,105,0.00023108920043136651,4,2.369215857410143,3.553823786115214,14.215295144460857,2.369215857410143,7.107647572230428
69,5,33,1,0,5,CD,78,0.0012709906023725159,29,1.5088778508391492,1.716998933713514,49.79296907769191,1.5088778508391492,3.0177557016782983
70,50,2,1,0,50,CD,109,7.702973347712218e-05,2,2.670245853074124,2.670245853074124,5.340491706148248,2.670245853074124,2.670245853074124
71,500,1,1,0,500,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
72,51,1,1,0,51,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
73,55,2,1,0,55,CD,109,7.702973347712218e-05,1,2.971275848738105,5.94255169747621,5.94255169747621,5.94255169747621,5.94255169747621
74,58,1,1,0,58,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
75,5th,1,1,0,5th,JJ,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
76,6,18,1,0,6,CD,93,0.0006932676012940995,17,1.7408269273598314,1.843228511322174,31.334884692476958,1.7408269273598314,3.4816538547196627
77,600,1,1,0,600,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
78,7,20,1,0,7,CD,91,0.0007702973347712217,20,1.670245853074124,1.6702458530741242,33.404917061482486,1.670245853074124,1.670245853074124
79,70,2,1,0,70,CD,109,7.702973347712218e-05,2,2.670245853074124,2.670245853074124,5.340491706148248,2.670245853074124,2.670245853074124
80,8,16,1,0,8,CD,95,0.0006162378678169774,13,1.8573324964312685,2.2859476879154075,29.717319942900296,1.8573324964312685,5.571997489293805
81,800,1,1,0,800,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
82,8th,1,1,0,8th,JJ,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
83,9,20,1,0,9,CD,91,0.0007702973347712217,17,1.7408269273598314,2.0480316792468605,34.81653854719663,1.7408269273598314,5.222480782079494
84,92,1,1,0,92,CD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
85,a,370,0,1,a,DT,12,0.0142505006932676,258,0.5596561427748751,0.8026076466151316,207.07277282670395,0.5596561427748751,2.2386245710995003
86,abducted,1,0,0,abduct,VBD,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
87,able,2,0,0,abl,JJ,109,7.702973347712218e-05,2,2.670245853074124,2.670245853074124,5.340491706148248,2.670245853074124,2.670245853074124
88,about,23,0,1,about,IN,88,0.0008858419349869049,22,1.628853167915899,1.7028919482757126,37.46362286206568,1.628853167915899,3.257706335831798
89,accepted,1,0,0,accept,VBN,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
90,accompanied,25,0,0,accompani,VBN,86,0.0009628716684640271,25,1.5733358400660675,1.5733358400660675,39.333396001651685,1.5733358400660675,1.5733358400660675
91,account,1,0,0,account,VB,110,3.851486673856109e-05,1,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105,2.971275848738105
92,accusations,2,0,0,accus,NNS,109,7.702973347712218e-05,2,2.670245853074124,2.670245853074124,5.340491706148248,2.670245853074124,2.670245853074124
93,accused,2,0,0,accus,VBD,109,7.702973347712218e-05,2,2.670245853074124,2.670245853074124,5.340491706148248,2.670245853074124,2.670245853074124
